stream,macros_slope,macros_elevation,macros_fcl,fish_slope,fish_elevation,fish_fcl,combined_slope,combined_elevation,combined_fcl
Beaver,-0.6295,3.5001,16,-0.5767,-7.3675,8,-0.9706,-1.4803,17
Big Sandy,-0.7254,4.414,15,-0.7579,-7.0127,10,-0.9994,-1.2907,19
Buffalo,-1.0026,5.7607,9,-0.7031,-7.3418,10,-1.0505,-1.9737,19
Dry Fork,-0.6345,5.2472,13,-0.157,-8.5554,9,-1.1015,0.1103,18
Dunkard,-0.8312,4.9723,15,-0.737,-6.4991,10,-1.0293,-0.4998,19
Elk,-0.8684,4.3357,13,-0.3477,-7.2365,11,-0.9576,-1.4005,20
Fish,-0.8273,4.2974,13,-0.5241,-7.8343,11,-0.999,-1.9041,20
Fishing,-0.7353,3.4501,14,-0.8412,-7.657,11,-0.9947,-1.8164,20
Horseshoe,-0.8867,5.4961,9,-0.7444,-7.0914,10,-1.0325,-1.6068,19
Paw Paw,-0.753,5.3553,16,-0.5286,-5.8082,10,-0.9588,0.1009,19
Simpson,-0.874,4.9888,12,-0.773,-6.9774,10,-1.0605,-0.8145,19
Tenmile,-0.9433,5.5405,12,-0.646,-8.6673,10,-1.1835,-1.8328,19
Three Fork,-1.0915,4.9554,6,-0.6313,-8.8392,8,-1.1102,-3.0094,17
Wheeling,-0.872,5.0634,13,-0.4576,-7.4014,13,-0.9567,-1.6777,22
Whiteday,-0.821,4.3121,12,-1.0551,-7.0059,8,-1.0552,-1.3476,17
